"","ethnicity","sex","agegrp","qualification","hours","income"
"64","Asian","female",30,2,13,257
"65","Asian","female",40,4,40,540
"66","European","male",40,4,40,922
"67","European","male",55,3,45,770
"68","Pacific","female",20,2,35,630
"69","European","male",55,4,50,1152
"70","European","male",40,3,40,1266
"71","Asian","female",45,4,33,298
"72","European","male",50,1,45,965
"73","Pacific","female",20,2,35,661
"74","European","female",25,4,33,1074
"75","Maori","male",20,4,52,1258
"76","European","male",45,3,40,880
"77","European","male",30,2,60,759
"78","Maori","female",35,3,40,968
"79","European","male",50,4,36,799
"80","European","female",50,3,36.5,450
"81","European","female",30,3,37.5,931
"82","European","male",45,1,40,1358
"83","European","female",65,3,43.5,1669
"84","European","female",50,3,40,833
"85","Maori","male",25,3,40,1122
"86","European","female",20,3,40,660
"87","European","female",50,4,50,1122
"88","European","male",35,4,66,1263
"89","European","male",40,3,40,1751
"90","Asian","male",25,4,45,1066
"91","European","male",45,4,55,697
"92","European","female",45,4,32,583
"93","Asian","female",25,4,37.5,670
"94","European","male",60,3,20,315
"95","European","male",25,4,42.5,1768
"96","Asian","female",35,1,15,2191
"97","European","male",40,2,3,89
"98","European","female",60,3,15,378
"99","European","male",25,4,40,690
"100","European","female",55,4,30,620
"101","European","female",45,3,40,1899
"102","European","male",50,4,37,599
"103","Asian","male",50,4,40,1770
"104","European","male",40,1,40,1080
"105","European","female",55,3,10,345
"106","European","male",25,3,40,695
"107","European","male",20,2,40,1122
"108","European","female",40,2,40,1628
"109","European","female",60,1,40,1166
"110","European","male",65,3,50,1052
"111","European","male",40,4,52,224
"112","European","male",40,3,40,576
"113","European","male",20,2,10,487
"114","European","male",65,3,37,811
"115","Asian","male",65,1,14,317
"116","European","female",60,2,30,1017
"117","European","male",30,3,40,1646
"118","Maori","male",30,2,50,1157
"119","European","male",55,2,40,627
"120","European","female",25,1,7.5,624
"121","European","male",20,2,40,504
"122","European","female",25,3,40,605
"123","European","female",50,4,37.5,1992
"124","European","male",45,2,40,624
"125","European","male",40,3,50.5,836
"126","European","male",25,1,42,739
"127","European","male",30,3,30,945
"128","European","male",40,3,50,983
"129","Pacific","female",15,3,48,1125
"130","European","female",20,2,45,814
"131","European","male",55,4,49,1659
"132","European","female",30,4,32,790
"133","European","female",50,3,40,2356
"134","Asian","male",15,2,40,504
"135","Asian","female",45,1,32,813
"136","European","male",60,3,40,673
"137","European","female",60,3,40,1080
"138","European","male",50,3,52,648
"139","European","female",45,3,40,1471
"140","European","female",55,3,39,796
"141","European","male",40,3,40,1554
"142","European","male",35,3,40,1371
"143","European","female",50,3,12,458
"144","European","female",30,4,40,579
"145","European","female",65,1,40,504
"146","European","male",45,2,15,643
"147","Pacific","male",40,4,40,1001
"148","European","male",30,3,53,1827
"149","European","female",25,3,37.5,633
"150","European","female",45,2,40,495
"151","European","male",35,3,45,2173
"152","European","male",35,2,40,554
"153","European","male",55,1,40.5,611
"154","European","female",40,2,10,117
"155","European","female",25,4,50,1312
"156","Asian","female",65,1,38.5,1135
"157","European","female",20,2,27,437
"158","European","female",45,2,29.5,637
"159","European","female",40,3,60,2025
"160","European","female",65,4,40,2442
"161","European","male",65,3,25,1443
"162","European","male",50,4,40,2532
"163","European","female",55,1,33,865
"164","European","female",40,3,27,1033
"165","European","female",25,3,40,612
"166","European","male",45,3,40,1012
"167","European","female",45,4,43.5,901
"168","European","male",55,4,40,1085
"169","European","male",55,2,40,844
"170","European","male",25,4,40,1181
"171","Asian","male",25,4,37.5,296
"172","European","female",65,1,39,695
"173","European","female",35,3,40,880
"174","European","male",25,4,41,977
"175","European","female",30,3,50,975
"176","European","female",40,4,30,614
"177","European","male",25,3,42,1404
"178","European","male",55,3,40,755
"179","European","female",65,1,4,128
"180","European","male",25,1,40,648
"181","European","male",40,3,40,781
"182","European","male",45,1,40,660
"183","European","male",50,3,48,924
"184","European","female",45,3,40,863
"185","European","male",35,3,22.5,434
"186","European","female",55,2,10,136
"187","European","male",40,3,40,1326
"188","European","female",25,3,14,234
"189","European","female",45,3,12,162
"190","European","male",55,4,27,1119
"191","European","male",65,3,40,1482
"192","European","male",55,1,40,863
"193","European","male",25,3,52.5,762
"194","European","female",35,4,32,773
"195","Asian","male",45,4,60,5268
"196","European","male",55,2,45,1932
"197","European","male",20,3,40,531
"198","Asian","female",20,3,25,384
"199","Asian","female",25,4,40,761
"200","European","male",65,3,50,1341
"201","European","male",20,3,40,576
"202","European","female",55,1,19,744
"203","European","female",40,4,48,1270
"204","European","female",60,2,30,672
"205","European","female",35,2,4,203
"206","European","female",15,2,40,638
"207","European","male",45,2,50,1253
"208","Pacific","male",60,3,10,169
"209","European","female",65,1,20,581
"210","European","male",30,3,15,270
"211","European","male",35,3,45,1519
"212","European","male",45,1,40,1266
"213","European","female",30,3,16,622
"214","European","male",65,2,20.5,448
"215","Asian","female",20,2,40,587
"216","European","male",45,4,45,921
"217","Maori","male",35,1,40,1519
"218","European","female",50,2,39,1153
"219","European","male",55,3,45,1719
"220","Maori","female",40,1,9,179
"221","European","male",55,2,40,970
"222","European","female",40,3,40,1609
"223","Asian","male",15,2,40,638
"224","European","female",55,2,40,633
"225","Asian","male",30,4,40,907
"226","European","male",55,3,37,1308
"227","European","male",40,3,50,872
"228","European","male",60,1,40,1139
"229","European","male",65,4,40,4965
"230","European","female",45,4,32,889
"231","European","female",20,3,40,949
"232","European","female",60,3,37,738
"233","European","female",30,3,32,581
"234","European","male",55,4,40,720
"235","European","male",50,4,40,1267
"236","European","female",55,3,4,72
"237","Maori","female",40,1,26,312
"238","European","female",55,2,33.5,577
"239","Pacific","male",20,2,45,543
"240","Asian","female",25,4,27.5,2123
"241","Asian","female",25,4,50,1419
"242","European","male",50,4,30,1834
"243","European","male",50,1,42,1108
"244","European","female",35,4,40,1032
"245","Maori","male",60,1,9,320
"246","European","male",45,2,41.5,746
"247","European","male",65,3,7.5,217
"248","European","female",55,3,38.5,624
"249","European","male",40,4,40,1916
"250","European","female",25,3,40,1882
"251","European","male",15,3,40,1121
"252","Pacific","female",20,3,5,68
"253","Asian","male",20,4,30,1404
"254","European","male",45,3,40,1498
"255","European","female",20,2,60,1721
"256","European","female",45,3,40,742
"257","European","male",20,2,37.5,1504
"258","European","female",65,3,6.5,143
"259","European","female",65,2,10,186
"260","European","male",20,3,9,130
"261","Asian","female",55,2,35.5,1231
"262","Maori","male",15,1,20,304
"263","Asian","female",50,4,40,1187
"264","European","female",50,3,40,576
"265","European","male",35,2,40,844
"266","European","female",55,2,30,691
"267","Maori","female",65,3,37.5,939
"268","Asian","male",25,4,42.5,390
"269","European","female",50,1,40,1266
"270","Asian","female",50,4,40,630
"271","European","male",25,3,41,480
"272","European","female",25,4,30,486
"273","European","male",55,1,2,33
"274","European","female",65,2,40,1087
"275","European","female",40,3,40,1355
"276","European","female",20,4,2,29
"277","European","female",40,2,16,272
"278","European","female",50,3,21,612
"279","Asian","female",25,1,14,845
"280","European","female",50,4,28,495
"281","European","female",40,3,40,1097
"282","Asian","female",20,3,40,635
"283","European","male",25,4,55,1028
"284","Asian","male",40,3,40,613
"285","European","female",30,3,40,898
"286","European","male",20,3,21,394
"287","European","female",55,3,42,1220
"288","European","female",30,2,41,331
"289","European","male",20,4,37,832
"290","European","male",35,3,48,810
"291","European","female",35,2,37,1502
"292","European","male",35,2,40,1614
"293","European","male",45,3,50,1652
"294","European","male",35,3,41.5,968
"295","European","male",30,4,32,518
"296","European","female",40,1,40,823
"297","European","female",50,3,80,2611
"298","European","male",30,4,42.5,1125
"299","European","male",20,2,42,748
"300","European","male",55,3,40,708
"301","European","male",20,2,12,413
"302","European","female",45,4,40,864
"303","European","female",50,3,10,651
"304","European","female",65,1,38.5,846
"305","European","female",20,4,15,1485
"306","European","male",50,2,40,2004
"307","European","female",45,4,16,334
"308","European","female",25,4,43.5,2109
"309","European","female",50,3,55,952
"310","Maori","male",55,1,60,3330
"311","European","female",40,1,20,335
"312","European","female",20,2,24,1123
"313","European","male",50,4,40,1467
"314","European","male",45,1,40,734
"315","Asian","male",50,3,40,844
"316","European","female",50,3,15,270
"317","European","male",20,3,32,641
"318","European","male",30,3,40,793
"319","European","female",65,1,40,1097
"320","European","female",20,2,35,443
"321","European","female",65,3,10,744
"322","European","female",30,3,60,1033
"323","European","female",50,3,40,1266
"324","European","male",20,3,40,612
"325","European","male",35,4,23,269
"326","European","female",35,4,27,1165
"327","European","male",40,1,40,1562
"328","European","male",65,4,32,1245
"329","European","male",15,2,37.5,886
"330","European","female",60,1,6,196
"331","European","female",30,4,29.5,703
"332","Maori","female",50,4,24,417
"333","European","male",40,3,40,1156
"334","European","female",55,4,6.5,111
"335","Asian","female",25,4,40,880
"336","European","male",55,4,40,720
"337","European","male",20,2,36,782
"338","European","male",50,4,40,576
"339","European","male",25,3,51,1236
"340","European","female",45,4,40,1412
"341","Pacific","female",35,2,18,462
"342","European","female",35,1,25.5,342
"343","European","female",50,4,30,528
"344","European","female",30,4,30,639
"345","Pacific","female",30,2,8,330
"346","European","female",40,2,40,1374
"347","European","female",35,4,17,1530
"348","European","female",65,1,34,732
"349","European","male",20,1,45,648
"350","European","male",40,3,40,806
"351","European","female",25,3,40,738
"352","Pacific","female",55,3,40,504
"353","European","female",50,2,21,706
"354","Asian","female",25,4,40,1571
"355","European","female",35,2,30,848
"356","European","male",60,3,40,884
"357","European","female",50,3,40,863
"358","European","female",25,4,24,990
"359","European","male",25,3,49.5,1372
"360","European","male",30,2,57,2221
"361","European","female",50,2,6,228
"362","European","male",65,3,40,1266
"363","European","female",40,1,43,586
"364","European","female",25,3,40,485
"365","European","male",20,2,37.5,761
"366","European","female",45,3,50,943
"367","European","female",30,1,40,691
"368","Asian","female",35,4,2,101
"369","European","female",65,2,40,766
"370","Maori","female",45,3,30,682
"371","European","female",65,3,71,1425
"372","European","male",25,4,45,1119
"373","European","female",45,2,10,97
"374","European","female",30,3,40,1061
"375","European","male",15,1,50,2080
"376","European","female",20,2,12,184
"377","European","male",20,3,35,770
"378","European","female",25,4,40,930
"379","European","male",20,3,40,629
"380","Pacific","male",35,3,40,504
"381","Asian","male",25,2,48,743
"382","Asian","male",20,2,40,654
"383","Maori","male",55,1,40,648
"384","European","female",40,4,42,955
"385","European","male",30,3,40,756
"386","Asian","male",40,3,43,868
"387","European","male",35,3,40,1793
"388","Maori","male",15,1,8,167
"389","European","male",60,3,40,653
"390","European","male",40,3,50,1573
"391","European","female",45,3,8,101
"392","European","male",40,2,41,592
"393","Pacific","female",55,4,2,37
"394","European","male",20,2,4,105
"395","European","female",60,4,40,792
"396","European","male",25,4,45,752
"397","European","female",20,3,40,633
"398","Maori","female",35,2,37.5,763
"399","European","male",55,3,40,810
"400","European","male",50,2,37,1394
"401","European","female",55,3,37,1073
"402","Pacific","male",15,2,48,584
"403","European","female",50,2,9.5,189
"404","European","female",55,2,40,1122
"405","European","female",60,4,25.5,306
"406","European","male",65,2,19.5,1140
"407","European","female",30,4,17,561
"408","European","female",65,2,37.5,510
"409","European","female",30,4,2,72
"410","Pacific","female",45,1,42.5,1744
"411","Asian","male",50,4,40,1277
"412","Asian","female",40,4,37,1429
"413","Maori","male",35,4,47.5,855
"414","European","male",65,2,45,1134
"415","Maori","male",55,3,40,1100
"416","European","female",65,2,32,689
"417","European","male",65,3,41,712
"418","European","female",65,1,37.5,608
"419","Pacific","male",50,2,55,1692
"420","European","female",30,4,35.5,984
"421","Maori","female",25,4,37.5,2331
"422","European","female",30,3,9.5,260
"423","European","male",50,3,40,1208
"424","European","male",50,3,40,2071
"425","European","male",30,3,42,848
"426","European","male",60,3,39,1926
"427","European","male",20,3,40,971
"428","European","female",25,3,20,243
"429","European","female",20,3,28,378
"430","European","male",35,2,40,792
"431","Maori","female",30,3,35,409
"432","Maori","male",20,2,36,421
"433","European","male",25,3,40,968
"434","European","female",20,4,37,1020
"435","European","female",40,4,36,1427
"436","European","male",25,4,50.5,1313
"437","European","female",50,3,27,384
"438","European","female",60,3,15,435
"439","Asian","female",50,1,32,527
"440","European","female",35,3,60,1097
"441","European","female",55,1,50,1477
"442","European","female",40,4,40,880
"443","Asian","male",45,3,40,666
"444","European","female",55,3,13,338
"445","European","male",20,3,27,564
"446","European","male",45,3,23.5,368
"447","European","male",55,2,46,759
"448","European","female",55,3,40,1323
"449","European","female",30,4,40,486
"450","European","female",20,2,20,245
"451","European","male",60,2,40,627
"452","European","male",50,4,40,717
"453","European","male",25,3,44,1018
"454","Asian","female",35,4,40,1212
"455","Asian","female",35,3,6,1483
"456","European","male",15,2,30,1716
"457","European","female",65,1,30,997
"458","European","male",50,1,32,1616
"459","Maori","male",30,1,40,873
"460","Maori","male",15,1,24,385
"461","European","male",25,1,40,972
"462","European","female",30,3,30,907
"463","European","male",50,3,41.5,1576
"464","European","male",30,1,43,1415
"465","European","male",30,2,42,932
"466","European","male",65,1,20.5,118
"467","European","female",35,3,37,785
"468","European","male",45,3,40,1097
"469","European","female",40,4,40,1719
"470","European","female",40,3,24,581
"471","European","male",45,1,45,2569
"472","European","female",40,3,46.5,1851
"473","Asian","female",25,2,25,316
"474","European","female",60,2,20,564
"475","European","male",45,4,40,1208
"476","Maori","male",25,1,40,1688
"477","Asian","female",35,1,35,444
"478","Asian","male",20,3,38,812
"479","European","male",15,2,50,921
"480","Pacific","male",20,3,50.5,1433
"481","European","male",30,3,45,848
"482","European","female",40,3,50,1514
"483","European","female",35,3,14,183
"484","European","female",45,3,40,1224
"485","European","female",50,2,40,696
"486","Pacific","female",20,2,50,2437
"487","European","male",50,2,40,1510
"488","Maori","female",30,2,60,1314
"489","European","female",35,3,24,918
"490","Asian","male",35,4,40,3568
"491","European","male",35,2,40,880
"492","Asian","female",15,2,40,1101
"493","European","male",60,2,40,522
"494","European","male",65,2,50,1018
"495","European","female",55,4,8.5,207
"496","European","male",50,3,40,783
"497","European","male",60,1,45,1171
"498","Maori","female",50,4,40,1122
"499","Asian","male",20,2,11,158
"500","European","female",25,3,44,629
"501","European","female",40,3,35,862
"502","Pacific","male",30,2,40,792
"503","European","female",45,3,39,1050
"504","European","male",60,3,40,880
"505","European","female",40,4,37,1576
"506","European","female",55,2,24,299
"507","European","female",65,1,40,948
"508","European","male",65,2,65,1087
"509","European","male",30,4,40,855
"510","Asian","female",50,3,19,226
"511","European","male",65,1,40,802
"512","European","female",20,3,16,241
"513","European","male",50,4,47.5,2073
"514","Maori","female",30,4,65,1950
"515","European","male",40,3,40.5,519
"516","European","female",55,3,42.5,1402
"517","European","male",30,2,25,1675
"518","European","female",40,1,16,721
"519","European","female",20,2,40,540
"520","European","male",25,1,60,1151
"521","Asian","male",60,2,5,72
"522","European","female",60,3,6,193
"523","European","male",35,4,58,1901
"524","European","male",60,3,51,959
"525","European","female",55,4,45,1272
"526","European","male",25,3,37,851
"527","European","female",45,2,24,385
"528","European","female",40,4,35,1101
"529","European","female",45,3,15,678
"530","European","male",50,1,42.5,631
"531","European","male",35,3,50,1344
"532","European","male",60,1,10,176
"533","Asian","female",55,3,25,362
"534","European","female",60,1,40,647
"535","Asian","female",25,4,20,270
"536","European","male",60,3,40,572
"537","European","male",65,1,8,113
"538","European","female",25,4,29,1111
"539","European","female",55,3,40,1008
"540","European","male",45,1,40,1477
"541","Asian","male",35,4,45,1464
"542","European","male",35,4,21,1187
"543","European","male",60,1,17.5,418
"544","European","male",30,3,40,1307
"545","European","male",30,3,45,668
"546","European","female",40,4,52,1396
"547","European","male",40,3,55,1447
"548","Maori","female",15,1,40,572
"549","European","female",45,3,40,450
"550","Pacific","male",40,1,40,748
"551","European","female",15,2,50,767
"552","European","female",25,4,1.5,50
"553","Asian","male",25,1,44,1044
"554","European","female",55,3,40,754
"555","European","male",45,4,43.5,2698
"556","Pacific","male",60,3,40,682
"557","European","female",45,4,16,467
"558","Asian","male",20,2,40.5,886
"559","European","female",60,2,30,626
"560","European","female",50,4,37.5,609
"561","Maori","male",50,1,42.5,650
"562","European","female",65,1,40,651
"563","European","male",25,3,40,836
"564","European","female",15,2,8,123
"565","European","female",30,4,18,456
"566","Pacific","female",25,3,3,253
"567","European","male",45,1,34,831
"568","European","female",65,1,13.5,994
"569","European","male",20,4,44,911
"570","European","male",60,2,40,1168
"571","European","male",30,1,55,1068
"572","European","female",65,1,4,253
"573","Asian","male",40,4,80,2077
"574","European","male",50,2,46,987
"575","European","female",55,2,40,550
"576","Asian","male",30,4,40,1055
"577","Pacific","female",35,3,40,952
"578","Pacific","female",50,1,37.5,847
"579","European","female",20,3,42.5,524
"580","European","female",50,3,60,2438
"581","Asian","male",40,4,48,2700
"582","European","female",35,2,37,1319
"583","European","female",30,4,40,875
"584","European","female",60,3,6,125
"585","European","male",55,3,24,456
"586","European","male",55,1,37.5,738
"587","European","male",20,2,50,844
"588","European","female",35,3,33,928
"589","Asian","female",40,4,20,1140
"590","Asian","male",55,4,40,1046
"591","European","female",55,1,37,1465
"592","European","male",40,1,40,1008
"593","European","male",60,1,40,468
"594","Asian","female",45,1,40,2743
"595","Asian","female",25,3,40,682
"596","Maori","female",15,2,10,263
"597","European","female",25,3,40,992
"598","European","female",65,3,30,1222
"599","Maori","female",20,2,41.5,1751
"600","European","male",30,2,40,1610
"601","Asian","male",25,4,40,629
"602","European","male",35,2,40,550
"603","European","male",30,4,48,2192
"604","Asian","female",55,2,40,752
"605","European","male",30,3,46,559
"606","European","female",20,2,25,502
"607","European","female",35,4,47.5,838
"608","European","female",40,4,32,1170
"609","European","female",45,2,15,327
"610","European","female",55,3,37.5,1352
"611","European","male",55,1,45,1134
"612","Pacific","male",40,1,40,2848
"613","European","female",20,2,40,518
"614","European","male",20,2,40,598
"615","European","female",55,3,40,660
"616","European","female",35,2,37,908
"617","Asian","male",25,3,12,877
"618","European","male",20,2,40,648
"619","European","male",45,3,40,1343
"620","European","male",50,4,60,1034
"621","Asian","female",35,4,18,744
"622","Asian","female",45,2,40,1279
"623","European","female",25,3,5,138
"624","European","male",35,4,40,738
"625","European","male",60,4,40,898
"626","Asian","male",55,4,40,1154
"627","European","male",35,3,52,744
"628","European","male",55,4,40,1033
"629","European","male",25,3,40,804
"630","Maori","female",60,1,3,71
"631","European","female",25,2,17.5,736
"632","European","male",25,3,55,555
"633","European","male",20,2,40,642
"634","European","female",45,1,39,1078
"635","European","male",40,3,56,1411
"636","Maori","male",35,2,50,945
"637","European","male",15,2,45,760
"638","Asian","male",60,4,40,3354
"639","European","female",60,3,36,334
"640","Pacific","male",20,4,40,912
"641","European","male",25,1,40,972
"642","Asian","female",40,4,21,878
"643","Asian","male",15,2,40,765
"644","Pacific","female",25,2,53,702
"645","European","female",30,4,55,856
"646","European","female",20,4,37.5,1308
"647","European","male",45,1,40,1760
"648","European","male",30,3,40,1112
"649","European","female",20,3,40,468
"650","Asian","female",15,1,15,176
"651","European","female",45,2,32.5,914
"652","Pacific","male",25,3,42.5,807
"653","European","male",45,3,40,675
"654","European","female",35,3,35,634
"655","European","female",25,3,45,797
"656","European","female",60,3,40,792
"657","European","female",60,3,47,992
"658","European","male",40,1,52,1871
"659","European","female",20,1,3.5,58
"660","Pacific","female",65,1,30,2532
"661","European","male",15,2,40,604
"662","Asian","male",45,2,45,1470
"663","European","male",40,2,40,630
"664","European","female",25,3,45,722
"665","Pacific","male",30,3,45,631
"666","European","female",25,3,36,554
"667","Asian","male",50,1,41.5,1036
"668","European","female",40,3,27,805
"669","European","female",40,4,60,769
"670","European","female",45,3,40,1277
"671","European","female",20,2,40,616
"672","European","male",60,2,40,638
"673","European","male",35,3,40,1329
"674","European","male",20,2,39,490
"675","Maori","female",20,1,32.5,630
"676","European","female",60,3,40,668
"677","European","female",20,2,45,782
"678","Maori","female",40,3,37.5,1329
"679","Asian","male",30,4,50,900
"680","Asian","female",40,3,45,1099
"681","European","female",20,3,15,231
"682","European","female",65,2,8.5,455
"683","European","female",40,4,20,1340
"684","Maori","male",65,1,40,831
"685","European","female",60,2,23,853
"686","European","male",50,4,42,989
"687","European","female",65,3,20,1381
"688","European","male",55,1,40,725
"689","European","male",45,1,50,1099
"690","European","female",35,2,37,1477
"691","European","male",30,2,40,748
"692","European","male",35,1,40,626
"693","European","female",35,3,37.5,471
"694","Asian","female",45,2,37.5,1601
"695","Asian","male",20,4,40,1069
"696","Pacific","female",40,1,40,1074
"697","European","female",45,3,42,9166
"698","European","male",45,1,46,739
"699","European","male",45,4,40,1200
"700","European","male",60,3,47,1398
"701","Pacific","female",45,4,32,421
"702","European","male",50,3,40,963
"703","European","male",40,4,40,1484
"704","European","female",45,3,55,1348
"705","European","male",45,2,40,638
"706","European","female",20,3,40,540
"707","European","male",50,1,35,1017
"708","Asian","female",50,1,10,36
"709","Asian","female",35,3,24,489
"710","European","female",20,1,40,792
"711","Maori","female",20,4,39,526
"712","European","male",65,1,37,1704
"713","European","female",60,1,40,924
"714","European","female",40,3,45,1012
"715","Maori","female",45,1,15,2756
"716","Asian","male",50,4,40,1191
"717","European","female",35,1,38.5,601
"718","European","male",40,3,40,863
"719","European","male",20,2,47,685
"720","European","female",55,4,15,343
"721","European","female",50,3,30,472
"722","European","male",40,3,45.5,3791
"723","European","female",55,3,38,888
"724","European","male",25,1,50,1366
"725","European","male",30,4,40,726
"726","European","female",30,4,40,1983
"727","Asian","male",45,4,60,1986
"728","European","female",65,4,40,2020
"729","European","male",35,3,50,742
"730","European","female",45,2,40,1012
"731","Asian","male",30,3,40,846
"732","European","male",50,1,40,1467
"733","Asian","female",45,3,32,389
"734","European","female",45,1,30.5,769
"735","Maori","male",25,2,35,1346
"736","European","male",30,3,45,693
"737","European","female",50,2,40,1182
"738","Maori","male",35,1,40,1052
"739","Asian","female",35,4,40,863
"740","European","female",45,4,40,1491
"741","European","female",55,2,20,393
"742","European","female",50,4,40,540
"743","Asian","male",25,3,40,660
"744","European","male",25,3,40,990
"745","European","female",20,3,42,762
"746","European","female",20,4,2,23
"747","Pacific","female",65,1,4,162
"748","European","female",20,1,15,169
"749","European","female",45,1,42.5,1108
"750","European","male",45,3,40,903
"751","European","male",25,3,55,1025
"752","European","female",45,3,16,921
"753","Asian","female",20,4,44,1003
"754","European","female",50,3,45,842
"755","Maori","female",50,3,40,576
"756","European","female",45,3,40,836
"757","European","female",45,3,40,845
"758","European","female",50,3,40,811
"759","European","female",45,1,25,692
"760","European","female",60,1,25,358
"761","European","male",20,2,45,644
"762","Asian","male",25,3,40,777
"763","Maori","male",30,3,40,844
"764","European","female",55,1,40,810
"765","Asian","female",35,4,40,792
"766","European","female",30,4,1,33
"767","European","female",20,4,11,99
"768","European","male",55,2,50,1219
"769","European","male",50,4,40,666
"770","Asian","female",25,4,11,475
"771","European","male",55,3,45,557
"772","European","female",40,4,60,659
"773","Maori","male",20,2,37.5,849
"774","European","male",25,4,40,2089
"775","Maori","male",45,2,14,1019
"776","European","female",50,3,32.5,1450
"777","European","male",45,2,50,1498
"778","European","male",35,3,30,958
"779","Asian","male",35,4,37.5,1774
"780","European","female",60,3,10,246
"781","European","female",40,4,53,1346
"782","European","female",35,3,37,777
"783","European","female",50,4,40,2589
"784","European","male",60,2,48,1285
"785","European","female",20,3,42.5,888
"786","European","male",40,3,40,1266
"787","Asian","male",30,4,37,1460
"788","European","female",55,3,5,551
"789","European","male",50,4,40,934
"790","European","female",20,1,1,27
"791","European","male",65,3,5,119
"792","Asian","male",60,3,55,1381
"793","European","male",45,2,72,1737
"794","European","male",60,1,40,1095
"795","Maori","female",40,1,26.5,394
"796","European","male",50,4,40,863
"797","European","male",45,3,45,1154
"798","European","male",40,3,40,2908
"799","European","female",25,4,3,309
"800","European","male",50,3,20,485
"801","European","male",40,2,44,713
"802","European","male",35,3,37.5,1612
"803","European","female",30,3,27,1543
"804","European","female",40,2,20,1235
"805","European","male",60,3,40,486
"806","European","male",45,4,42.5,1141
"807","European","male",50,4,57.5,1857
"808","European","male",55,1,45,1288
"809","European","female",50,1,40,1122
"810","European","male",15,1,30,1716
"811","European","female",65,2,25,859
"812","Asian","male",20,1,40,720
"813","European","female",25,4,8,346
"814","European","male",15,2,3,34
"815","Pacific","female",35,3,30,768
"816","European","male",35,3,55,1555
"817","European","female",65,1,60,864
"818","European","female",20,1,37.5,1072
"819","European","female",60,1,34,857
"820","European","female",60,2,40,1173
"821","European","female",40,3,40,1055
"822","European","male",65,1,42.5,4923
"823","European","male",30,4,37,1742
"824","European","male",45,2,44,1070
"825","Asian","male",50,1,40,1029
"826","European","female",30,3,40,1277
"827","Asian","female",45,4,20,437
"828","European","female",30,3,30,685
"829","European","female",30,4,15,595
"830","European","female",30,4,40,1477
"831","Pacific","male",20,4,45,1012
"832","European","male",30,4,45,749
"833","European","female",60,3,37.5,980
"834","European","male",35,3,40,1156
"835","European","male",30,2,50,1482
"836","Asian","male",25,4,55,1121
"837","European","female",50,2,40,1191
"838","European","male",30,4,37,2420
"839","European","female",30,4,40,1435
"840","European","male",30,3,8,2258
"841","European","male",35,4,30,995
"842","European","male",35,1,40,811
"843","European","female",55,3,21,587
"844","European","male",65,3,40,1510
"845","European","male",15,2,40,949
"846","Pacific","male",50,1,40,880
"847","European","male",35,2,50,1006
"848","European","male",65,2,16.5,2192
"849","European","female",20,3,40,936
"850","European","male",65,1,40,792
"851","European","female",50,1,37.5,940
"852","European","male",55,2,45,844
"853","European","female",30,2,37.5,571
"854","European","female",60,3,29,561
"855","European","female",45,4,13,1322
"856","European","male",25,3,40,1029
"857","Asian","male",20,2,20,356
"858","European","male",65,1,40,1519
"859","European","male",50,3,52,828
"860","European","female",55,4,40,1407
"861","Maori","male",60,1,10.5,228
"862","European","male",55,2,50,1042
"863","Asian","female",45,4,40,1804
"864","European","male",65,2,31.5,896
